Detector,Descriptor,Keypoints,Matches,Detector Time(ms),Descriptor Time(ms)
SHITOMASI,BRIEF,118,115,11.7624,1.0609
SHITOMASI,BRIEF,123,111,10.7036,0.4863
SHITOMASI,BRIEF,120,104,11.299,0.487
SHITOMASI,BRIEF,120,101,10.49,0.4914
SHITOMASI,BRIEF,113,102,8.7542,0.4853
SHITOMASI,BRIEF,114,102,9.0997,0.4634
SHITOMASI,BRIEF,123,100,9.7816,0.496
SHITOMASI,BRIEF,111,109,9.3544,0.4806
SHITOMASI,BRIEF,112,100,9.4443,0.5095
SHITOMASI,ORB,118,106,8.775,0.6099
SHITOMASI,ORB,123,102,8.6139,0.6128
SHITOMASI,ORB,120,99,9.5049,0.6169
SHITOMASI,ORB,120,102,9.1378,0.6097
SHITOMASI,ORB,113,103,9.2432,0.5869
SHITOMASI,ORB,114,97,8.8293,0.5965
SHITOMASI,ORB,123,98,8.6905,0.639
SHITOMASI,ORB,111,104,8.9936,0.596
SHITOMASI,ORB,112,97,8.7148,0.5965
SHITOMASI,FREAK,118,86,8.6828,30.0989
SHITOMASI,FREAK,123,90,7.3354,30.1871
SHITOMASI,FREAK,120,86,8.0036,31.005
SHITOMASI,FREAK,120,88,7.6888,30.6918
SHITOMASI,FREAK,113,86,7.5345,30.6951
SHITOMASI,FREAK,114,80,8.0967,30.3424
SHITOMASI,FREAK,123,81,7.1371,30.0054
SHITOMASI,FREAK,111,86,7.5214,30.3326
SHITOMASI,FREAK,112,85,7.1262,30.1307
SHITOMASI,SIFT,118,112,7.6807,6.6426
SHITOMASI,SIFT,123,108,7.6013,7.7727
SHITOMASI,SIFT,120,104,7.3419,6.8681
SHITOMASI,SIFT,120,103,7.7025,6.7211
SHITOMASI,SIFT,113,99,7.123,6.6455
SHITOMASI,SIFT,114,101,7.2339,7.0175
SHITOMASI,SIFT,123,96,7.6026,7.4147
SHITOMASI,SIFT,111,106,7.6771,6.5052
SHITOMASI,SIFT,112,97,7.4486,7.2434
HARRIS,BRIEF,54,48,7.0613,0.2426
HARRIS,BRIEF,53,49,7.1587,0.3144
HARRIS,BRIEF,55,47,6.8608,0.2457
HARRIS,BRIEF,56,51,7.2547,0.2428
HARRIS,BRIEF,58,53,7.8973,0.2801
HARRIS,BRIEF,57,49,7.4621,0.2801
HARRIS,BRIEF,61,52,7.2525,0.2805
HARRIS,BRIEF,59,56,6.8744,0.2977
HARRIS,BRIEF,57,55,7.4671,0.2502
HARRIS,ORB,54,46,6.7803,0.5343
HARRIS,ORB,53,44,9.2822,0.8127
HARRIS,ORB,55,48,8.0628,0.5467
HARRIS,ORB,56,51,7.8519,0.5581
HARRIS,ORB,58,49,7.2606,0.5523
HARRIS,ORB,57,51,6.8723,0.518
HARRIS,ORB,61,50,6.8054,0.5185
HARRIS,ORB,59,57,7.6119,0.6108
HARRIS,ORB,57,55,7.2684,0.5636
HARRIS,FREAK,54,43,7.2183,29.6312
HARRIS,FREAK,53,43,6.8704,29.7952
HARRIS,FREAK,55,42,7.4524,29.4926
HARRIS,FREAK,56,39,6.7587,29.6825
HARRIS,FREAK,58,41,7.2352,31.9007
HARRIS,FREAK,57,48,6.7932,29.7664
HARRIS,FREAK,61,45,7.3736,29.9283
HARRIS,FREAK,59,47,6.9093,29.717
HARRIS,FREAK,57,48,7.5087,29.794
