Detector,Descriptor,Keypoints,Matches,Detector Time(ms),Descriptor Time(ms),Total Time(ms)
FAST,BRIEF,156,123,0.5958,0.4972,1.093
FAST,BRIEF,155,118,0.63,0.5533,1.1833
FAST,BRIEF,143,119,0.7027,0.493,1.1957
FAST,BRIEF,150,130,0.6405,0.5614,1.2019
FAST,BRIEF,152,119,0.6091,0.6018,1.2109
FAST,ORB,152,118,0.61,0.6725,1.2825
FAST,ORB,156,122,0.6519,0.6439,1.2958
FAST,BRIEF,149,126,0.6297,0.6844,1.3141
FAST,ORB,143,119,0.6879,0.6339,1.3218
FAST,BRIEF,149,108,0.6079,0.7274,1.3353
FAST,ORB,149,106,0.6656,0.6709,1.3365
FAST,ORB,138,123,0.6149,0.7672,1.3821
FAST,BRIEF,150,131,0.6118,0.7899,1.4017
FAST,ORB,149,126,0.662,0.8679,1.5299
FAST,BRIEF,138,125,0.6668,0.885,1.5518
FAST,ORB,150,122,0.9473,0.7165,1.6638
FAST,ORB,155,112,0.6956,1.0163,1.7119
FAST,ORB,150,123,0.8399,0.9342,1.7741
ORB,BRIEF,129,68,5.2762,0.4388,5.715
ORB,BRIEF,127,84,5.2985,0.4604,5.7589
ORB,BRIEF,130,78,5.4488,0.4727,5.9215
ORB,BRIEF,128,66,5.4425,0.545501,5.988
ORB,BRIEF,109,59,5.7267,0.4261,6.1528
ORB,BRIEF,102,49,5.5861,0.6257,6.2118
ORB,BRIEF,113,45,5.881,0.4606,6.3416
ORB,BRIEF,125,53,5.8904,0.495,6.3854
ORB,BRIEF,106,43,6.7381,0.5075,7.2456
HARRIS,BRIEF,56,51,7.2018,0.6481,7.8499
ORB,ORB,130,101,4.8215,3.2336,8.0551
HARRIS,ORB,57,51,7.6474,0.5282,8.1756
ORB,ORB,109,84,4.9038,3.324,8.2278
ORB,ORB,102,67,5.2029,3.0581,8.261
HARRIS,ORB,56,51,7.1021,1.2376,8.3397
HARRIS,BRIEF,59,56,8.2585,0.2583,8.5168
ORB,ORB,113,72,5.2246,3.3192,8.5438
ORB,ORB,127,93,5.4742,3.136,8.6102
ORB,ORB,129,92,5.2705,3.4842,8.7547
HARRIS,ORB,61,50,8.2968,0.5591,8.8559
FAST,SIFT,155,110,0.637,8.3179,8.9549
FAST,SIFT,138,117,0.6125,8.4315,9.044
ORB,ORB,106,70,5.4252,3.6223,9.0475
FAST,SIFT,152,118,0.6889,8.372,9.0609
FAST,SIFT,150,124,0.7647,8.3385,9.1032
FAST,SIFT,149,114,0.5989,8.5438,9.1427
